Temperature,Humidity
12:53:46,31.00,33.80
12:53:56,31.00,33.80
12:54:06,31.00,33.80
12:54:16,31.00,33.80
12:54:26,31.00,33.80
12:54:36,31.00,33.80
12:54:46,31.00,33.80
12:54:56,31.00,33.80
12:55:06,31.00,33.80
12:55:17,31.00,33.80
12:55:27,31.00,33.80
12:55:37,31.00,33.80
12:55:47,31.00,33.30
12:55:57,31.00,33.30
12:56:07,31.00,33.30
12:56:17,31.00,33.30
